#OTU	A50
OTU_751	0.0
OTU_1129	0.0
OTU_1007	3.0
OTU_509	0.0
OTU_277	0.0
OTU_530	0.0
OTU_624	7.0
OTU_415	0.0
OTU_932	3.0
OTU_905	0.0
OTU_449	0.0
OTU_1033	1.0
OTU_810	0.0
OTU_564	10.0
OTU_992	5.0
OTU_792	1.0
OTU_554	0.0
OTU_404	0.0
OTU_1082	4.0
OTU_573	8.0
OTU_666	0.0
OTU_334	46.0
OTU_319	1.0
OTU_272	11.0
OTU_1026	1.0
OTU_306	0.0
OTU_727	0.0
OTU_1021	0.0
OTU_1079	1.0
OTU_303	64.0
OTU_300	17.0
OTU_1037	1.0
OTU_1011	3.0
OTU_689	0.0
OTU_805	0.0
OTU_874	0.0
OTU_618	0.0
OTU_502	23.0
OTU_372	0.0
OTU_634	0.0
OTU_355	36.0
OTU_239	2.0
OTU_301	14.0
OTU_256	65.0
OTU_535	1.0
OTU_840	0.0
OTU_313	5.0
OTU_408	17.0
OTU_311	2.0
OTU_668	9.0
OTU_357	0.0
OTU_376	9.0
OTU_546	2.0
OTU_659	0.0
OTU_520	0.0
OTU_531	4.0
OTU_909	0.0
OTU_889	0.0
OTU_963	0.0
OTU_964	1.0
OTU_878	9.0
OTU_806	0.0
OTU_843	2.0
OTU_842	5.0
OTU_857	2.0
OTU_705	0.0
OTU_595	0.0
OTU_643	4.0
OTU_1064	0.0
OTU_983	0.0
OTU_460	0.0
OTU_1039	1.0
OTU_589	0.0
OTU_551	2.0
OTU_648	1.0
OTU_381	1.0
OTU_896	0.0
OTU_260	0.0
OTU_253	2.0
OTU_1132	0.0
OTU_703	0.0
OTU_715	0.0
OTU_1123	0.0
OTU_979	0.0
OTU_1087	0.0
OTU_417	0.0
OTU_1059	6.0
OTU_741	1.0
OTU_403	1.0
OTU_461	12.0
OTU_483	2.0
OTU_880	1.0
OTU_918	0.0
OTU_710	0.0
OTU_822	0.0
OTU_721	1.0
OTU_732	2.0
OTU_575	0.0
OTU_413	0.0
OTU_528	0.0
OTU_342	3.0
OTU_597	0.0
OTU_725	10.0
OTU_902	0.0
OTU_494	0.0
OTU_1070	0.0
OTU_816	0.0
OTU_633	11.0
OTU_731	0.0
OTU_492	0.0
OTU_671	0.0
OTU_817	6.0
OTU_263	1.0
OTU_1078	0.0
OTU_1054	0.0
OTU_651	0.0
OTU_863	0.0
OTU_374	0.0
OTU_302	0.0
OTU_379	3.0
OTU_654	0.0
OTU_1125	0.0
OTU_1103	0.0
OTU_777	15.0
OTU_835	1.0
OTU_635	12.0
OTU_768	1.0
OTU_851	0.0
OTU_388	0.0
OTU_1116	0.0
OTU_504	3.0
OTU_717	0.0
OTU_786	0.0
OTU_1041	1.0
OTU_416	0.0
OTU_716	1.0
OTU_723	4.0
OTU_626	0.0
OTU_371	0.0
OTU_808	0.0
OTU_711	0.0
OTU_709	0.0
OTU_848	1.0
OTU_867	15.0
OTU_914	0.0
OTU_231	0.0
OTU_980	0.0
OTU_883	0.0
OTU_496	5.0
OTU_898	3.0
OTU_559	0.0
OTU_652	20.0
OTU_457	0.0
OTU_755	0.0
OTU_706	16.0
OTU_621	6.0
OTU_508	5.0
OTU_769	0.0
OTU_625	1.0
OTU_696	0.0
OTU_1107	1.0
OTU_512	0.0
OTU_1061	3.0
OTU_730	0.0
OTU_681	0.0
OTU_640	0.0
OTU_471	7.0
OTU_796	0.0
OTU_912	0.0
OTU_637	0.0
OTU_1109	0.0
OTU_629	8.0
OTU_783	2.0
OTU_603	0.0
OTU_619	3.0
OTU_590	11.0
OTU_1015	0.0
OTU_823	1.0
OTU_1114	0.0
OTU_743	0.0
OTU_982	0.0
OTU_767	0.0
OTU_459	0.0
OTU_556	0.0
OTU_323	0.0
OTU_680	0.0
OTU_801	4.0
OTU_1023	12.0
OTU_882	0.0
OTU_740	1.0
OTU_1045	0.0
OTU_1122	0.0
OTU_356	2.0
OTU_683	1.0
OTU_788	0.0
OTU_647	0.0
OTU_673	0.0
OTU_1111	0.0
OTU_1105	0.0
OTU_879	0.0
OTU_977	0.0
OTU_958	0.0
OTU_1124	0.0
OTU_645	0.0
OTU_474	1.0
OTU_454	2.0
OTU_708	0.0
OTU_699	10.0
OTU_1056	2.0
OTU_954	0.0
OTU_795	0.0
OTU_1071	0.0
OTU_548	1.0
OTU_1053	0.0
OTU_734	3.0
OTU_897	0.0
OTU_588	8.0
OTU_545	0.0
OTU_576	0.0
OTU_962	0.0
OTU_1058	0.0
OTU_854	0.0
OTU_988	2.0
OTU_972	1.0
OTU_864	0.0
OTU_387	18.0
OTU_756	12.0
OTU_614	0.0
OTU_617	0.0
OTU_899	0.0
OTU_1094	0.0
OTU_719	0.0
OTU_927	1.0
OTU_1096	1.0
OTU_965	0.0
OTU_877	0.0
OTU_1074	0.0
OTU_713	1.0
OTU_638	0.0
OTU_441	4.0
OTU_599	8.0
OTU_1028	0.0
OTU_1052	0.0
OTU_1050	0.0
OTU_694	0.0
OTU_524	1.0
OTU_670	5.0
OTU_1077	0.0
OTU_463	0.0
OTU_230	0.0
OTU_934	0.0
OTU_1051	0.0
OTU_682	1.0
OTU_735	0.0
OTU_1027	4.0
OTU_712	0.0
OTU_997	0.0
OTU_1057	0.0
OTU_885	0.0
OTU_529	0.0
OTU_1100	3.0
OTU_433	18.0
OTU_566	0.0
OTU_1049	0.0
OTU_1034	0.0
OTU_1081	0.0
OTU_669	1.0
OTU_906	0.0
OTU_797	0.0
OTU_1095	0.0
OTU_676	3.0
OTU_1101	0.0
OTU_847	0.0
OTU_543	0.0
OTU_1043	0.0
OTU_697	0.0
OTU_1086	0.0
OTU_728	4.0
OTU_804	26.0
OTU_1089	0.0
OTU_929	0.0
OTU_1073	0.0
OTU_800	0.0
OTU_762	0.0
OTU_771	0.0
OTU_350	6.0
OTU_875	0.0
OTU_1120	0.0
OTU_993	0.0
OTU_971	5.0
OTU_990	0.0
OTU_892	0.0
OTU_1010	1.0
OTU_862	0.0
OTU_491	0.0
OTU_936	0.0
OTU_984	4.0
OTU_1088	0.0
OTU_799	1.0
OTU_987	0.0
OTU_547	5.0
OTU_941	0.0
OTU_1072	0.0
OTU_939	0.0
OTU_901	0.0
OTU_1112	0.0
OTU_920	0.0
OTU_1025	0.0
OTU_1009	0.0
OTU_868	2.0
OTU_919	0.0
OTU_953	0.0
OTU_591	0.0
OTU_940	0.0
OTU_1069	0.0
OTU_1000	9.0
OTU_837	0.0
OTU_838	0.0
OTU_1012	2.0
OTU_938	0.0
OTU_858	0.0
OTU_1029	3.0
OTU_1048	0.0
OTU_827	16.0
OTU_935	0.0
OTU_1076	0.0
OTU_1014	0.0
OTU_679	0.0
OTU_981	0.0
OTU_833	0.0
OTU_1016	0.0
OTU_952	0.0
OTU_910	0.0
OTU_996	1.0
OTU_765	0.0
OTU_718	1.0
OTU_974	0.0
OTU_1119	0.0
OTU_1004	0.0
OTU_968	0.0
OTU_250	1.0
OTU_967	0.0
OTU_969	0.0
OTU_753	0.0
OTU_1020	0.0
OTU_999	0.0
OTU_194	0.0
OTU_1013	0.0
OTU_978	2.0
OTU_752	6.0
OTU_973	1.0
OTU_678	0.0
OTU_930	0.0
OTU_1042	0.0
OTU_976	0.0
OTU_1126	0.0
OTU_737	3.0
OTU_610	0.0
OTU_733	0.0
OTU_655	0.0
OTU_1110	0.0
OTU_852	0.0
OTU_1113	0.0
OTU_951	0.0
OTU_826	0.0
OTU_455	1.0
OTU_1030	0.0
OTU_229	1.0
OTU_1019	0.0
OTU_285	0.0
OTU_894	0.0
OTU_986	0.0
